name,country,foundation_date,serial_number
Producer One,USA,2001-05-15 00:00:00,PN001
Producer Two,UK,1998-03-22 00:00:00,PN002
Producer Three,Canada,2010-07-30 00:00:00,PN003
Producer Four,Germany,2005-11-10 00:00:00,PN004
Producer Five,France,2012-01-01 00:00:00,PN005
Producer Six,Australia,2008-09-15 00:00:00,PN006
Producer Seven,Japan,1995-12-05 00:00:00,PN007
Producer Eight,Italy,2000-04-25 00:00:00,PN008
Producer Nine,Spain,2015-06-30 00:00:00,PN009
Producer Ten,Brazil,2003-08-14 00:00:00,PN010